"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","769","Should successfully login with valid credentials via POST /api/admin/login","firefox","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","281","REQ-AUTH-02 Should reject login when password does not match username","firefox","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","469","REQ-AUTH-01 Should fail with incorrect credentials via POST /api/auth/login","chromium","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","208","REQ-AUTH-04 Should reject request when username field is omitted","firefox","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","646","Should successfully login with valid credentials via POST /api/admin/login","webkit","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","241","REQ-AUTH-03 Should reject login when username does not exist in the database","firefox","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","711","TC-05: Should successfully submit contact message via POST /message/","webkit","2026-08-22","passed","2026-08-22","API Tests - Contact Messages","api-contact.messages.spec.ts","",""
"","9287","TC-01:Successful contact form submission","webkit","2026-08-22","passed","2026-08-22","Contact Form","contact-form.spec.ts","",""
"","219","REQ-AUTH-04 Should reject request when username field is omitted","chromium","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","210","REQ-AUTH-05 Should reject request with empty payload","webkit","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","4645","Successful room booking","chromium","2026-08-22","passed","2026-08-22","Room booking","room-booking.spec.ts","",""
"","981","TC-05: Should successfully submit contact message via POST /message/","firefox","2026-08-22","passed","2026-08-22","API Tests - Contact Messages","api-contact.messages.spec.ts","",""
"","3381","TC-01:Successful contact form submission","firefox","2026-08-22","passed","2026-08-22","Contact Form","contact-form.spec.ts","",""
"","239","REQ-AUTH-03 Should reject login when username does not exist in the database","chromium","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","984","Should successfully login with valid credentials via POST /api/admin/login","chromium","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","247","REQ-AUTH-05 Should reject request with empty payload","firefox","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","407","REQ-AUTH-02 Should reject login when password does not match username","chromium","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","6736","Successful room booking","webkit","2026-08-22","passed","2026-08-22","Room booking","room-booking.spec.ts","",""
"","2917","Successful room booking","firefox","2026-08-22","passed","2026-08-22","Room booking","room-booking.spec.ts","",""
"","234","REQ-AUTH-03 Should reject login when username does not exist in the database","webkit","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","3184","TC-01:Successful contact form submission","chromium","2026-08-22","passed","2026-08-22","Contact Form","contact-form.spec.ts","",""
"","211","REQ-AUTH-04 Should reject request when username field is omitted","webkit","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","287","REQ-AUTH-02 Should reject login when password does not match username","webkit","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","242","REQ-AUTH-01 Should fail with incorrect credentials via POST /api/auth/login","webkit","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","204","REQ-AUTH-05 Should reject request with empty payload","chromium","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
"","738","TC-05: Should successfully submit contact message via POST /message/","chromium","2026-08-22","passed","2026-08-22","API Tests - Contact Messages","api-contact.messages.spec.ts","",""
"","281","REQ-AUTH-01 Should fail with incorrect credentials via POST /api/auth/login","firefox","2026-08-22","passed","2026-08-22","API Tests - Admin","api-auth.spec.ts","",""
